Linux 4.4.0-66-generic (CSPARKWORKnode2) 	10/23/2017 	_x86_64_	(16 CPU)

11:46:28 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
11:46:29 AM     all      0.06      0.00      0.00      6.25      0.00     93.68
11:46:30 AM     all      0.00      0.00      0.06      6.25      0.00     93.68
11:46:31 AM     all      0.06      0.00      0.00      6.19      0.00     93.75
11:46:32 AM     all      0.13      0.00      0.00      6.63      0.00     93.24
11:46:33 AM     all      0.06      0.00      0.06      6.25      0.00     93.62
11:46:34 AM     all      0.06      0.00      0.00      6.13      0.00     93.80
11:46:35 AM     all      0.00      0.00      0.06      6.20      0.00     93.74
11:46:36 AM     all      1.00      0.00      0.50      5.38      0.00     93.12
11:46:37 AM     all      0.25      0.00      0.13      6.38      0.00     93.25
11:46:38 AM     all      0.06      0.00      0.06      6.31      0.00     93.57
11:46:39 AM     all      0.06      0.00      0.00      6.31      0.00     93.62
11:46:40 AM     all      0.06      0.00      0.00      6.26      0.00     93.68
11:46:41 AM     all      0.25      0.00      0.06      6.19      0.00     93.50
11:46:42 AM     all      1.13      0.00      0.06      6.07      0.00     92.74
11:46:43 AM     all      1.88      0.00      0.19      5.63      0.00     92.31
11:46:44 AM     all      0.69      0.00      0.06      6.13      0.00     93.12
11:46:45 AM     all      0.56      0.00      0.19      5.69      0.00     93.56
11:46:46 AM     all      1.00      0.00      0.06      5.57      0.00     93.36
11:46:47 AM     all      4.07      0.00      0.38      4.32      0.00     91.24
11:46:48 AM     all      1.62      0.00      0.31      6.43      0.00     91.63
11:46:49 AM     all      1.06      0.00      0.25      5.38      0.00     93.31
11:46:50 AM     all      3.51      0.00      0.44      4.32      0.00     91.73
11:46:51 AM     all      6.20      0.00      0.56      2.25      0.00     90.99
11:46:52 AM     all      1.57      0.00      0.06      0.19      0.00     98.18
11:46:53 AM     all      0.00      0.00      0.00      0.25      0.00     99.75
11:46:54 AM     all      0.00      0.00      0.00      0.13      0.00     99.87
11:46:55 AM     all      0.00      0.00      0.12      0.06      0.00     99.81
11:46:56 AM     all      0.00      0.00      0.00      0.06      0.00     99.94
11:46:57 AM     all      0.00      0.00      0.06      0.12      0.00     99.81
11:46:58 AM     all      0.00      0.00      0.00      0.06      0.00     99.94
11:46:59 AM     all      0.00      0.00      0.00      0.31      0.00     99.69
11:47:00 AM     all      0.00      0.00      0.06      0.06      0.00     99.87
11:47:01 AM     all      0.00      0.00      0.06      0.06      0.00     99.87
11:47:02 AM     all      0.00      0.00      0.06      0.13      0.00     99.81
11:47:03 AM     all      0.00      0.00      0.00      0.06      0.00     99.94
11:47:04 AM     all      0.00      0.00      0.00      0.06      0.00     99.94
11:47:05 AM     all      0.06      0.00      0.00      0.25      0.00     99.69
11:47:06 AM     all      0.06      0.00      0.06      0.06      0.00     99.81
11:47:07 AM     all      0.00      0.00      0.06      0.06      0.00     99.88
11:47:08 AM     all      0.00      0.00      0.00      0.06      0.00     99.94
11:47:09 AM     all      1.25      0.00      0.38      0.62      0.00     97.75
11:47:10 AM     all      0.06      0.00      0.13      0.06      0.00     99.75
11:47:11 AM     all      1.01      0.00      0.57      0.19      0.00     98.24
11:47:12 AM     all      1.78      0.00      1.71      0.06      0.00     96.44
11:47:13 AM     all      4.67      0.00      1.64      0.82      0.00     92.87
11:47:14 AM     all      6.69      0.00      1.20      0.82      0.00     91.29
11:47:15 AM     all      7.89      0.00      2.08      0.95      0.00     89.09
11:47:16 AM     all      8.87      0.00      3.34      5.60      0.00     82.19
11:47:17 AM     all      4.17      0.00      1.58      5.82      0.00     88.43
11:47:18 AM     all      0.88      0.00      1.20      6.31      0.00     91.61
11:47:19 AM     all      1.38      0.00      0.88      6.60      0.00     91.14
11:47:20 AM     all      0.88      0.00      0.82      2.58      0.00     95.72
11:47:21 AM     all      0.63      0.00      0.51      6.33      0.00     92.54
11:47:22 AM     all      1.07      0.00      0.63      6.35      0.00     91.95
11:47:23 AM     all      0.76      0.00      0.89      6.21      0.00     92.15
11:47:24 AM     all      1.20      0.00      0.95      6.37      0.00     91.49
11:47:25 AM     all      1.32      0.00      0.76      9.14      0.00     88.78
11:47:26 AM     all      1.51      0.00      0.95      6.31      0.00     91.24
11:47:27 AM     all      1.39      0.00      1.14      6.34      0.00     91.13
11:47:28 AM     all      2.08      0.00      1.14      6.38      0.00     90.40
11:47:29 AM     all      1.96      0.00      1.71      6.33      0.00     90.00
11:47:30 AM     all      0.06      0.00      0.19      6.27      0.00     93.48
11:47:31 AM     all      0.00      0.00      0.00     11.13      0.00     88.87
11:47:32 AM     all      0.06      0.00      0.00     25.00      0.00     74.94
11:47:33 AM     all      1.51      0.00      0.57     21.40      0.00     76.53
11:47:34 AM     all      0.13      0.00      0.00      9.89      0.00     89.98
11:47:35 AM     all      0.13      0.00      0.13      4.88      0.00     94.87
11:47:36 AM     all      0.44      0.00      0.19      0.25      0.00     99.12
11:47:37 AM     all      0.63      0.00      0.38      0.00      0.00     98.99
11:47:38 AM     all      1.20      0.00      0.76      0.13      0.00     97.92
11:47:39 AM     all      1.90      0.00      1.33      0.00      0.00     96.77
11:47:40 AM     all      2.15      0.00      1.58      0.06      0.00     96.20
11:47:41 AM     all      6.19      0.00      1.96      2.97      0.00     88.87
11:47:42 AM     all      6.27      0.00      1.51      0.75      0.00     91.47
11:47:43 AM     all      5.97      0.00      1.19      0.00      0.00     92.83
11:47:44 AM     all      6.28      0.00      0.94      0.06      0.00     92.71
11:47:45 AM     all      6.04      0.00      1.64      1.19      0.00     91.13
11:47:46 AM     all      5.06      0.00      0.94      6.30      0.00     87.70
11:47:47 AM     all      0.38      0.00      0.06      7.56      0.00     92.00
11:47:48 AM     all      0.00      0.00      0.00     18.82      0.00     81.18
11:47:49 AM     all      0.00      0.00      0.00     18.84      0.00     81.16
11:47:50 AM     all      0.00      0.00      0.06     18.76      0.00     81.18
11:47:51 AM     all      4.82      0.00      1.13      9.90      0.00     84.15
11:47:52 AM     all      5.52      0.00      0.69      6.27      0.00     87.52
11:47:53 AM     all      0.00      0.00      0.06      6.26      0.00     93.68
11:47:54 AM     all      0.00      0.00      0.00      6.32      0.00     93.68
11:47:55 AM     all      0.00      0.00      0.00      6.32      0.00     93.68
11:47:56 AM     all      0.06      0.00      0.00      6.31      0.00     93.63
11:47:57 AM     all      0.00      0.00      0.00      6.32      0.00     93.68
11:47:58 AM     all      0.00      0.00      0.00      6.31      0.00     93.69
11:47:59 AM     all      0.00      0.00      0.00      6.32      0.00     93.68
11:48:00 AM     all      0.00      0.00      0.06      6.32      0.00     93.62
11:48:01 AM     all      0.00      0.00      0.00      6.32      0.00     93.68
11:48:02 AM     all      0.00      0.00      0.00      6.38      0.00     93.62
11:48:03 AM     all      0.00      0.00      0.00      6.32      0.00     93.68
11:48:08 AM     all      0.08      0.00      0.05      6.35      0.00     93.52
11:48:09 AM     all      0.00      0.00      0.06      6.31      0.00     93.62
11:48:10 AM     all      0.00      0.00      0.00      6.38      0.00     93.62
11:48:11 AM     all      0.06      0.00      0.00     18.32      0.00     81.61
11:48:12 AM     all      0.00      0.00      0.12     18.80      0.00     81.07
11:48:13 AM     all      5.78      0.00      1.19     11.80      0.00     81.23
11:48:14 AM     all      2.06      0.00      0.94     11.44      0.00     85.55
11:48:15 AM     all      0.00      0.00      0.00     12.56      0.00     87.44
11:48:16 AM     all      0.00      0.00      0.12     18.30      0.00     81.57
11:48:17 AM     all      0.00      0.00      0.00     18.82      0.00     81.18
11:48:18 AM     all      0.00      0.00      0.00     18.82      0.00     81.18
11:48:19 AM     all      0.00      0.00      0.13     13.32      0.00     86.55
11:48:20 AM     all      0.00      0.00      0.00     12.51      0.00     87.49
11:48:21 AM     all      0.00      0.00      0.12     12.61      0.00     87.27
11:48:22 AM     all      0.00      0.00      0.00     12.52      0.00     87.48
11:48:23 AM     all      0.00      0.00      0.06     12.62      0.00     87.32
11:48:24 AM     all      0.00      0.00      0.00     12.58      0.00     87.42
11:48:25 AM     all      0.00      0.00      0.06     12.56      0.00     87.38
11:48:26 AM     all      0.00      0.00      0.00     12.57      0.00     87.43
11:48:27 AM     all      0.00      0.00      0.12     10.12      0.00     89.75
11:48:28 AM     all      0.12      0.00      0.06      6.31      0.00     93.50
11:48:29 AM     all      0.00      0.00      0.00      6.38      0.00     93.62
11:48:30 AM     all      0.00      0.00      0.06     11.38      0.00     88.56
11:48:31 AM     all      0.00      0.00      0.06     12.56      0.00     87.38
11:48:32 AM     all      0.00      0.00      0.19     10.31      0.00     89.50
11:48:33 AM     all      0.00      0.00      0.00      6.25      0.00     93.75
11:48:34 AM     all      0.00      0.00      0.00      6.38      0.00     93.62
11:48:35 AM     all      0.00      0.00      0.12     10.75      0.00     89.12
11:48:36 AM     all      0.00      0.00      0.00     12.57      0.00     87.43
11:48:37 AM     all      3.32      0.00      0.75      9.21      0.00     86.72
11:48:38 AM     all      6.22      0.00      1.19      6.29      0.00     86.30
11:48:39 AM     all      6.20      0.00      1.31      6.26      0.00     86.22
11:48:40 AM     all      6.52      0.00      1.25      1.94      0.00     90.28
11:48:41 AM     all      6.08      0.00      1.07      0.06      0.00     92.79
11:48:42 AM     all      5.65      0.00      1.13      5.21      0.00     88.01
11:48:43 AM     all      6.35      0.00      0.69      0.69      0.00     92.26
11:48:44 AM     all      6.28      0.00      0.82      0.06      0.00     92.84
11:48:45 AM     all      5.95      0.00      1.00      0.56      0.00     92.49
11:48:46 AM     all      0.00      0.00      0.00      6.19      0.00     93.81
11:48:47 AM     all      3.75      0.00      0.69      6.25      0.00     89.31
11:48:48 AM     all      6.39      0.00      0.88      6.33      0.00     86.40
11:48:49 AM     all      6.10      0.00      0.82      1.64      0.00     91.45
11:48:50 AM     all      6.21      0.00      0.75      0.13      0.00     92.91
11:48:51 AM     all      6.39      0.00      0.94      0.00      0.00     92.67
11:48:52 AM     all      2.88      0.00      1.00      3.94      0.00     92.18
11:48:53 AM     all      0.25      0.00      0.19      4.63      0.00     94.93
11:48:54 AM     all      0.75      0.00      0.88      4.94      0.00     93.44
11:48:55 AM     all     12.60      0.00      0.95      0.00      0.00     86.45
11:48:56 AM     all      9.99      0.00      1.81      1.06      0.00     87.13
11:48:57 AM     all     20.71      0.00      1.64      2.08      0.00     75.57
11:48:58 AM     all     48.77      0.00      0.95      0.00      0.00     50.28
11:48:59 AM     all     72.17      0.00      5.47      0.19      0.00     22.17
11:49:00 AM     all     62.50      0.00      7.83      0.69      0.00     28.98
11:49:01 AM     all     72.91      0.00      3.74      0.00      0.00     23.35
11:49:02 AM     all     75.70      0.00      5.52      0.06      0.00     18.72
11:49:03 AM     all     77.71      0.00      6.42      0.00      0.00     15.86
11:49:04 AM     all     73.51      0.00     13.18      0.00      0.00     13.31
11:49:05 AM     all     80.66      0.00      4.35      0.06      0.00     14.93
11:49:06 AM     all     77.82      0.00      4.85      0.00      0.00     17.33
11:49:07 AM     all     77.32      0.00      5.61      0.13      0.00     16.95
11:49:08 AM     all     81.60      0.00      6.09      0.00      0.00     12.31
11:49:09 AM     all     15.66      0.00      0.94      0.06      0.00     83.33
11:49:10 AM     all      0.00      0.00      0.19      0.06      0.00     99.75
11:49:11 AM     all      0.00      0.00      0.12      0.12      0.00     99.75
11:49:12 AM     all      0.00      0.00      0.00      0.06      0.00     99.94
11:49:13 AM     all      0.00      0.00      0.00      6.63      0.00     93.37
11:49:14 AM     all      0.00      0.00      0.00      6.32      0.00     93.68
11:49:15 AM     all      0.25      0.00      0.44     10.17      0.00     89.14
11:49:16 AM     all      0.00      0.00      0.31      6.64      0.00     93.05
11:49:17 AM     all      0.00      0.00      0.13      6.20      0.00     93.68
11:49:18 AM     all      0.06      0.00      0.00      6.31      0.00     93.62
11:49:19 AM     all      0.06      0.00      0.06      9.19      0.00     90.69
11:49:20 AM     all      0.00      0.00      0.06     17.81      0.00     82.12
11:49:21 AM     all      0.00      0.00      0.19     17.38      0.00     82.44
11:49:22 AM     all      0.00      0.00      0.06     10.75      0.00     89.19
11:49:23 AM     all      0.06      0.00      0.00      6.38      0.00     93.56
11:49:24 AM     all      0.00      0.00      0.00      8.39      0.00     91.61
11:49:25 AM     all      0.00      0.00      0.06     12.62      0.00     87.32
11:49:26 AM     all      0.00      0.00      0.00     12.57      0.00     87.43
11:49:27 AM     all      0.00      0.00      0.25     12.19      0.00     87.56
11:49:28 AM     all      0.00      0.00      0.06      6.37      0.00     93.57
11:49:29 AM     all      0.00      0.00      0.00      6.26      0.00     93.74
11:49:30 AM     all      0.00      0.00      0.06     11.12      0.00     88.82
11:49:31 AM     all      0.00      0.00      0.00     18.82      0.00     81.18
11:49:32 AM     all      0.00      0.00      0.06     16.45      0.00     83.49
11:49:33 AM     all      0.00      0.00      0.00      6.31      0.00     93.69
11:49:34 AM     all      0.56      0.00      0.13      5.76      0.00     93.55
11:49:35 AM     all      3.01      0.00      1.19      2.32      0.00     93.48
11:49:36 AM     all     12.81      0.00      1.00      0.06      0.00     86.13
11:49:37 AM     all     10.49      0.00      1.32      1.13      0.00     87.06
11:49:38 AM     all      0.31      0.00      0.00      0.13      0.00     99.56
11:49:39 AM     all      3.13      0.00      0.31      0.44      0.00     96.12
11:49:40 AM     all     12.77      0.00      1.38      0.19      0.00     85.67
11:49:41 AM     all     25.03      0.00      1.59      0.57      0.00     72.80
11:49:42 AM     all     34.49      0.00      2.52      0.19      0.00     62.81
11:49:43 AM     all     30.06      0.00      2.84      0.25      0.00     66.86
11:49:44 AM     all     30.00      0.00      1.70      0.06      0.00     68.24
11:49:45 AM     all     23.02      0.00      3.40      0.44      0.00     73.14
11:49:46 AM     all     16.92      0.00      3.33      0.50      0.00     79.25
11:49:47 AM     all     17.88      0.00      2.52      0.57      0.00     79.03
11:49:48 AM     all     14.70      0.00      3.14      0.38      0.00     81.78
11:49:49 AM     all     14.49      0.00      3.59      0.38      0.00     81.54
11:49:50 AM     all     14.33      0.00      3.21      0.50      0.00     81.96
11:49:51 AM     all     12.01      0.00      2.50      0.38      0.00     85.12
11:49:52 AM     all     10.56      0.00      3.33      0.44      0.00     85.67
11:49:53 AM     all     14.32      0.00      3.58      3.14      0.00     78.96
11:49:54 AM     all     16.11      0.00      3.65      0.38      0.00     79.86
11:49:55 AM     all     14.53      0.00      2.58      0.38      0.00     82.52
11:49:56 AM     all     13.94      0.00      3.64      0.38      0.00     82.04
11:49:57 AM     all     15.24      0.00      2.51      0.06      0.00     82.18
11:49:58 AM     all     16.09      0.00      3.27      0.38      0.00     80.26
11:49:59 AM     all     11.85      0.00      3.07      0.50      0.00     84.58
11:50:00 AM     all     14.81      0.00      2.84      0.38      0.00     81.98
11:50:01 AM     all     10.13      0.00      2.83      0.38      0.00     86.66
11:50:02 AM     all     10.10      0.00      2.63      0.88      0.00     86.39
11:50:03 AM     all     11.60      0.00      2.59      0.25      0.00     85.56
11:50:04 AM     all     13.55      0.00      3.01      0.38      0.00     83.06
11:50:05 AM     all     12.11      0.00      2.45      0.63      0.00     84.82
11:50:06 AM     all     13.51      0.00      3.02      0.38      0.00     83.09
11:50:07 AM     all     16.98      0.00      1.82      0.57      0.00     80.63
11:50:08 AM     all     11.31      0.00      2.51      0.82      0.00     85.36
11:50:09 AM     all     14.26      0.00      2.46      0.06      0.00     83.22
11:50:10 AM     all     12.71      0.00      1.01      0.06      0.00     86.22
11:50:11 AM     all     14.02      0.00      3.02      0.00      0.00     82.97
11:50:12 AM     all     18.76      0.00      0.50      0.25      0.00     80.49
