Linux 4.4.0-66-generic (CSPARKWORKnode1) 	10/23/2017 	_x86_64_	(16 CPU)

11:46:23 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
11:46:24 AM     all      0.13      0.00      0.13      6.07      0.00     93.68
11:46:25 AM     all      1.31      0.00      0.19      5.44      0.00     93.05
11:46:26 AM     all      0.25      0.00      0.06      6.45      0.00     93.24
11:46:27 AM     all      0.06      0.00      0.06      6.31      0.00     93.57
11:46:28 AM     all      0.19      0.00      0.00      6.19      0.00     93.62
11:46:29 AM     all      0.13      0.00      0.13      6.07      0.00     93.68
11:46:30 AM     all      1.06      0.00      0.12      6.06      0.00     92.75
11:46:31 AM     all      1.63      0.00      0.13      5.26      0.00     92.99
11:46:32 AM     all      1.06      0.00      0.13      6.13      0.00     92.68
11:46:33 AM     all      0.94      0.00      0.13      5.50      0.00     93.43
11:46:34 AM     all      3.55      0.00      0.37      4.43      0.00     91.65
11:46:35 AM     all      2.82      0.00      0.25      5.02      0.00     91.91
11:46:36 AM     all      1.25      0.00      0.38      5.08      0.00     93.30
11:46:37 AM     all      6.65      0.00      0.82      3.64      0.00     88.90
11:46:38 AM     all      3.76      0.00      0.13      0.63      0.00     95.49
11:46:39 AM     all      0.00      0.00      0.06      0.06      0.00     99.88
11:46:40 AM     all      0.00      0.00      0.06      0.06      0.00     99.87
11:46:41 AM     all      0.00      0.00      0.00      0.06      0.00     99.94
11:46:42 AM     all      0.00      0.00      0.00      0.31      0.00     99.69
11:46:43 AM     all      0.00      0.00      0.00      0.13      0.00     99.87
11:46:44 AM     all      0.00      0.00      0.00      0.06      0.00     99.94
11:46:45 AM     all      0.00      0.00      0.00      0.06      0.00     99.94
11:46:46 AM     all      0.00      0.00      0.00      0.06      0.00     99.94
11:46:47 AM     all      0.00      0.00      0.00      0.12      0.00     99.88
11:46:48 AM     all      0.00      0.00      0.00      0.25      0.00     99.75
11:46:49 AM     all      0.12      0.00      0.00      0.06      0.00     99.81
11:46:50 AM     all      0.00      0.00      0.00      0.06      0.00     99.94
11:46:51 AM     all      0.00      0.00      0.00      0.12      0.00     99.88
11:46:52 AM     all      0.00      0.00      0.00      0.06      0.00     99.94
11:46:53 AM     all      0.00      0.00      0.06      0.06      0.00     99.87
11:46:54 AM     all      0.00      0.00      0.00      0.19      0.00     99.81
11:46:55 AM     all      0.00      0.00      0.00      0.06      0.00     99.94
11:46:56 AM     all      0.00      0.00      0.00      0.06      0.00     99.94
11:46:57 AM     all      0.00      0.00      0.00      0.06      0.00     99.94
11:46:58 AM     all      0.00      0.00      0.00      0.13      0.00     99.87
11:46:59 AM     all      0.06      0.00      0.00      0.06      0.00     99.88
11:47:00 AM     all      0.00      0.00      0.00      0.19      0.00     99.81
11:47:01 AM     all      0.00      0.00      0.00      0.06      0.00     99.94
