Linux 4.4.0-66-generic (CSPARKWORKnode3) 	10/23/2017 	_x86_64_	(16 CPU)

11:46:23 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
11:46:24 AM     all      0.13      0.00      0.06      6.19      0.00     93.62
11:46:25 AM     all      0.19      0.00      0.00      6.07      0.00     93.74
11:46:26 AM     all      1.32      0.00      0.44      5.02      0.00     93.22
11:46:27 AM     all      0.06      0.00      0.00      6.20      0.00     93.74
11:46:28 AM     all      0.19      0.00      0.00      6.19      0.00     93.62
11:46:29 AM     all      0.19      0.00      0.13      6.19      0.00     93.50
11:46:30 AM     all      1.63      0.00      0.25      5.82      0.00     92.30
11:46:31 AM     all      1.94      0.00      0.25      5.07      0.00     92.75
11:46:32 AM     all      1.44      0.00      0.31      5.68      0.00     92.57
11:46:33 AM     all      0.88      0.00      0.19      5.26      0.00     93.67
11:46:34 AM     all      3.56      0.00      0.44      4.25      0.00     91.75
11:46:35 AM     all      3.26      0.00      0.19      5.07      0.00     91.48
11:46:36 AM     all      1.38      0.00      0.31      5.07      0.00     93.24
11:46:37 AM     all      4.02      0.00      0.69      4.27      0.00     91.02
11:46:38 AM     all      7.56      0.00      0.56      2.06      0.00     89.81
11:46:39 AM     all      1.44      0.00      0.00      0.06      0.00     98.50
11:46:40 AM     all      0.00      0.00      0.06      0.06      0.00     99.88
11:46:41 AM     all      0.00      0.00      0.00      0.06      0.00     99.94
11:46:42 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:46:43 AM     all      0.00      0.00      0.00      0.25      0.00     99.75
11:46:44 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:46:45 AM     all      0.00      0.00      0.00      0.06      0.00     99.94
11:46:46 AM     all      0.06      0.00      0.00      0.06      0.00     99.88
11:46:47 AM     all      0.00      0.00      0.06      0.06      0.00     99.88
11:46:48 AM     all      0.00      0.00      0.06      0.06      0.00     99.88
11:46:49 AM     all      0.00      0.00      0.00      0.25      0.00     99.75
11:46:50 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:46:51 AM     all      0.00      0.00      0.06      0.06      0.00     99.88
11:46:52 AM     all      0.00      0.00      0.06      0.06      0.00     99.88
11:46:53 AM     all      0.00      0.00      0.00      0.06      0.00     99.94
11:46:54 AM     all      0.00      0.00      0.00      0.06      0.00     99.94
11:46:55 AM     all      0.00      0.00      0.00      0.25      0.00     99.75
11:46:56 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:46:57 AM     all      0.00      0.00      0.00      0.06      0.00     99.94
11:46:58 AM     all      0.00      0.00      0.00      0.06      0.00     99.94
11:46:59 AM     all      0.00      0.00      0.00      0.06      0.00     99.94
11:47:00 AM     all      0.00      0.00      0.00      0.06      0.00     99.94
11:47:01 AM     all      0.00      0.00      0.00      0.25      0.00     99.75
11:47:02 AM     all      0.06      0.00      0.00      0.06      0.00     99.87
11:47:03 AM     all      0.00      0.00      0.00      0.06      0.00     99.94
11:47:04 AM     all      0.00      0.00      0.06      0.06      0.00     99.88
11:47:05 AM     all      0.00      0.00      0.00      0.06      0.00     99.94
11:47:06 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:47:07 AM     all      0.00      0.00      0.00      0.31      0.00     99.69
11:47:08 AM     all      1.63      0.00      0.31      0.56      0.00     97.50
11:47:09 AM     all      0.19      0.00      0.13      4.13      0.00     95.56
11:47:10 AM     all      0.13      0.00      0.06      0.00      0.00     99.81
11:47:11 AM     all      0.19      0.00      0.13      0.06      0.00     99.62
11:47:12 AM     all      0.13      0.00      0.06      0.06      0.00     99.75
11:47:13 AM     all      0.31      0.00      0.31      0.13      0.00     99.25
11:47:14 AM     all      0.57      0.00      0.44      0.06      0.00     98.93
11:47:15 AM     all      0.82      0.00      0.63      0.06      0.00     98.49
11:47:16 AM     all      1.26      0.00      0.88      0.00      0.00     97.85
11:47:17 AM     all      1.52      0.00      1.45      0.32      0.00     96.72
11:47:18 AM     all      2.03      0.00      1.78      0.25      0.00     95.94
11:47:19 AM     all      2.05      0.00      1.28      0.00      0.00     96.68
11:47:20 AM     all      2.48      0.00      1.34      0.06      0.00     96.12
11:47:21 AM     all      2.23      0.00      1.47      0.00      0.00     96.30
11:47:22 AM     all      5.17      0.00      1.92      0.70      0.00     92.21
11:47:23 AM     all      7.37      0.00      3.49      1.59      0.00     87.55
11:47:24 AM     all      8.43      0.00      2.24      0.38      0.00     88.95
11:47:25 AM     all      8.69      0.00      3.05      0.51      0.00     87.75
11:47:26 AM     all      9.00      0.00      3.23      0.00      0.00     87.77
11:47:27 AM     all      4.18      0.00      2.09      5.70      0.00     88.03
11:47:28 AM     all      3.16      0.00      1.64      5.82      0.00     89.37
11:47:29 AM     all      2.23      0.00      1.53      4.33      0.00     91.92
11:47:30 AM     all      0.94      0.00      0.57      0.13      0.00     98.36
11:47:31 AM     all      0.63      0.00      0.44      0.00      0.00     98.93
11:47:32 AM     all      0.82      0.00      0.56      0.06      0.00     98.56
11:47:33 AM     all      2.64      0.00      0.69      1.00      0.00     95.67
11:47:34 AM     all      6.34      0.00      1.00      1.57      0.00     91.09
11:47:35 AM     all      6.23      0.00      1.13      0.13      0.00     92.51
11:47:36 AM     all      6.28      0.00      0.88      0.00      0.00     92.84
11:47:37 AM     all      6.05      0.00      1.07      5.55      0.00     87.33
11:47:38 AM     all      6.40      0.00      1.13      5.46      0.00     87.01
11:47:39 AM     all      5.76      0.00      1.38      4.51      0.00     88.35
11:47:40 AM     all      6.54      0.00      1.13      0.00      0.00     92.32
11:47:41 AM     all      6.27      0.00      1.38      0.06      0.00     92.28
11:47:42 AM     all      5.45      0.00      2.32      1.06      0.00     91.17
11:47:43 AM     all      2.95      0.00      0.56      3.26      0.00     93.23
11:47:44 AM     all      6.03      0.00      1.44      4.15      0.00     88.38
11:47:45 AM     all      6.45      0.00      1.32      4.89      0.00     87.34
11:47:46 AM     all      5.78      0.00      1.44      6.60      0.00     86.18
11:47:47 AM     all      6.41      0.00      1.45      6.66      0.00     85.48
11:47:48 AM     all      3.39      0.00      0.50     12.67      0.00     83.44
